Brand,Name,Description,Price,Discount,Product URL,Image
Ecodenta,Gum Protection,zubní pasta s Tea Tree oil 75 ml,,,https://www.notino.cz/ecodenta/gum-protection-zubni-pasta-s-tea-tree-oil/,https://cdn.notinoimg.com/list_2k//ecodenta/4770001005538_01-o__240313.jpg
Chicco,Always Smiling 12m+,sada zubní péče Blue(pro děti),349,,https://www.notino.cz/chicco/always-smiling-12m-sada-zubni-pece-bluepro-deti/,https://cdn.notinoimg.com/list_2k//chicco/8058664022663_01__220712.jpg
Colgate,Natural Extracts Aloe Vera,bylinná zubní pasta,68,,https://www.notino.cz/colgate/natural-extracts-aloe-vera-bylinna-zubni-pasta/,https://cdn.notinoimg.com/list_2k//colgate/6920354835834_01-o__230630.jpg
Truthpaste,Original,přírodní zubní pasta Peppermint & Wintergreen 100 ml,219,,https://www.notino.cz/truthpaste/original-prirodni-zubni-pasta/,https://cdn.notinoimg.com/list_2k//truthpaste/5060655080005_01-o__231127.jpg
Elgydium,Kids,zubní pasta pro děti,105,,https://www.notino.cz/elgydium/kids-zubni-pasta-pro-deti/,https://cdn.notinoimg.com/list_2k//elgydium/3577056022012_01-o__230712.jpg
Pure Beginnings,Organic Baby 0-3 years,zubní pasta pro miminka a děti Raspberry 75 ml,246,,https://www.notino.cz/pure-beginnings/organic-baby-0-3-years-zubni-pasta-pro-miminka-a-deti/,https://cdn.notinoimg.com/list_2k//pure_beginnings/6009824780154_01-o__230216.jpg
HAAN,Toothpaste Life's a Beach,zubní pasta bez fluoridu plnitelná,163,,https://www.notino.cz/haan/toothpaste-lifes-a-beach-zubni-pasta-bez-fluoridu-plnitelna/,https://cdn.notinoimg.com/list_2k//haan/5060917120081_01-o__220405.jpg
HAAN,Toothpaste Good On Ya,zubní pasta s fluoridem plnitelná,179,,https://www.notino.cz/haan/toothpaste-good-on-ya-zubni-pasta-s-fluoridem-plnitelna/,https://cdn.notinoimg.com/list_2k//haan/5060669781066_01-o__230515.jpg
Chicco,Travel Set,sada zubní péče,296,,https://www.notino.cz/chicco/travel-set-sada-zubni-pece/,https://cdn.notinoimg.com/list_2k//chicco/8058664121229_01__231124.jpg
TePe,Daily,zubní pasta 75 ml,99,,https://www.notino.cz/tepe/daily-zubni-pasta/,https://cdn.notinoimg.com/list_2k//tepe/7350121253391_01-o__240419.jpg
Woobamboo,Eco Toothpaste,zubní pasta pro děti 75 ml,118,,https://www.notino.cz/woobamboo/eco-toothpaste-zubni-pasta-pro-deti/,https://cdn.notinoimg.com/list_2k//woobamboo/860002270500_01-o__220727.jpg
Chicco,Oral Care Toothpaste,zubní pasta pro děti příchuť Strawberry 12 m+ 50 ml,93,,https://www.notino.cz/chicco/oral-care-zubni-pasta-pro-deti-12-m/,https://cdn.notinoimg.com/list_2k//chicco/cicorad_ktps10_01__150803.jpg
Chicco,Oral Care Toothpaste,zubní pasta pro děti příchuť Apple & Banana 6 m+ 50 ml,93,,https://www.notino.cz/chicco/oral-care-zubni-pasta-pro-deti-6-m/,https://cdn.notinoimg.com/list_2k//chicco/8003670918707_01-o__231128.jpg
Denttabs,Natural Toothpaste Tablets with Fluoride,zubní pasta s fluoridem v tabletách Mint 125 tbl,149,,https://www.notino.cz/denttabs/natural-toothpaste-tablets-with-fluoride-zubni-pasta-s-fluoridem-v-tabletach/,https://cdn.notinoimg.com/list_2k//denttabs/4260066813006_01-o__231115.jpg
Naturaverde,Dentifricio,bělicí zubní pasta 75 ml,96,,https://www.notino.cz/naturaverde/dentifricio-belici-zubni-pasta/,https://cdn.notinoimg.com/list_2k//naturaverde/8029241123820_01-o__240125.jpg
Corsair,Baby Shark,zubní pasta pro děti 75 ml,52,,https://www.notino.cz/corsair/baby-shark-zubni-pasta-pro-deti/,https://cdn.notinoimg.com/list_2k//corsair/5013692251235_01__231002.jpg
Naturaverde,Bava Di Lumaca,zubní pasta pro citlivé zuby 75 ml,63,,https://www.notino.cz/naturaverde/bava-di-lumaca-zubni-pasta-pro-citlive-zuby/,https://cdn.notinoimg.com/list_2k//naturaverde/8029241123813_01-o__240130.jpg
Truthpaste,Kids Mild Mint,přírodní zubní pasta pro děti máta 100 ml,197,,https://www.notino.cz/truthpaste/kids-mild-mint-prirodni-zubni-pasta-pro-deti-mata/,https://cdn.notinoimg.com/list_2k//truthpaste/5060655080067_01-o__231127.jpg
HAAN,Toothpaste Apple a Day,zubní pasta bez fluoridu plnitelná,163,,https://www.notino.cz/haan/toothpaste-apple-a-day-zubni-pasta-bez-fluoridu-plnitelna/,https://cdn.notinoimg.com/list_2k//haan/5060917120067_01-o__220405.jpg
Brush Baby,Teething,zubní pasta pro děti 50 ml,115,,https://www.notino.cz/brush-baby/teething-zubni-pasta/,https://cdn.notinoimg.com/list_2k//brush_baby/5060178100679_01-o__240326.jpg
Beverly Hills Formula,Perfect White Sensitive,bělicí zubní pasta 100 ml,140,,https://www.notino.cz/beverly-hills-formula/perfect-white-sensitive-belici-zubni-pasta/,https://cdn.notinoimg.com/list_2k//beverly-hills-formula/5020105004340_01-o__240423.jpg
Beverly Hills Formula,Glitter Gold&Black,bělicí zubní pasta vegan 100 ml,157,,https://www.notino.cz/beverly-hills-formula/glitter-goldblack-belici-zubni-pasta-vegan/,https://cdn.notinoimg.com/list_2k//beverly-hills-formula/5020105004326_01-o__240423.jpg
Weleda,Dental Care,zubní pasta měsíček 75 ml,122,,https://www.notino.cz/weleda/dental-care-zubni-pasta-mesicek/,https://cdn.notinoimg.com/list_2k//weleda/4001638098014_01-o__211012.jpg
WOOM,Kids Peach,dětská zubní pasta 50 ml,101,,https://www.notino.cz/woom/kids-peach-detska-zubni-pasta/,https://cdn.notinoimg.com/list_2k//woom/4751033920105_01-o__220629.jpg
Curasept,ADS Soothing,zklidňující zubní pasta s gelovou texturou 75 ml,164,,https://www.notino.cz/curasept/ads-soothing-zklidnujici-zubni-pasta-s-gelovou-texturou/,https://cdn.notinoimg.com/list_2k//curasept/8056746070236_01-o__220203.jpg
Beverly Hills Formula,Perfect White Gold,bělicí zubní pasta s částečkami zlata příchuť Double Mint 100 ml,151,,https://www.notino.cz/beverly-hills-formula/perfect-white-gold-belici-zubni-pasta-s-casteckami-zlata/,https://cdn.notinoimg.com/list_2k//beverly-hills-formula/bevpwgw_ktps10_01__160503.jpg
EP Line,AC Milan Oral Hygiene Gift Set,dárková sada (pro děti),276,,https://www.notino.cz/ep-line/ac-milan-oral-hygiene-gift-set-darkova-sadapro-deti/,https://cdn.notinoimg.com/list_2k//ep-line/8029241131962_01__231120.jpg
Colgate,Max Fresh Cooling Crystals,zubní pasta 125 ml,91,,https://www.notino.cz/colgate/max-fresh-cooling-crystals-zubni-pasta/,https://cdn.notinoimg.com/list_2k//colgate/8718951313675_01-o__240312.jpg
BEN&ANNA,Toothpaste Wild Berry,přírodní zubní pasta 75 ml,99,,https://www.notino.cz/benanna/toothpaste-wild-berry-prirodni-zubni-pasta/,https://cdn.notinoimg.com/list_2k//benanna/4260491223036_01-o__230331.jpg
Colgate,Max White Charcoal,bělicí zubní pasta,99,,https://www.notino.cz/colgate/max-white-charcoal-belici-zubni-pasta/,https://cdn.notinoimg.com/list_2k//colgate/8590232000722_01-o__221128.jpg
Sensodyne,Herbal Fresh Trio,zubní pasta s fluoridem 3x75 ml,301,,https://www.notino.cz/sensodyne/herbal-fresh-trio-zubni-pasta-s-fluoridem-3-ks/,https://cdn.notinoimg.com/list_2k//sensodyne/2000028905279_01-o__221004.jpg
Sensodyne,Nourish Healthy White,bioaktivní zubní pasta s fluoridem,112,,https://www.notino.cz/sensodyne/nourish-healthy-white-bioaktivni-zubni-pasta-s-fluoridem/,https://cdn.notinoimg.com/list_2k//sensodyne/5054563120175_01-o__220601.jpg
Colgate,Max White Purple Reveal,osvěžující zubní pasta,91,,https://www.notino.cz/colgate/max-white-purple-reveal-osvezujici-zubni-pasta-6843139/,https://cdn.notinoimg.com/list_2k//colgate/8718951540033_01-o__230130.jpg
Oral B,Pro Expert Advanced,zubní pasta proti zubnímu kazu 75 ml,151,-20 % s kódem mix20,https://www.notino.cz/oral-b/pro-expert-advanced-zubni-pasta-proti-zubnimu-kazu/,https://cdn.notinoimg.com/list_2k//oral-b/8700216106702_01-o__230904.jpg
Naturaverde,Dentifricio,osvěžující zubní pasta 75 ml,62,,https://www.notino.cz/naturaverde/dentifricio-osvezujici-zubni-pasta/,https://cdn.notinoimg.com/list_2k//naturaverde/8029241122533_01-o__240130.jpg
TePe,Pure,zubní pasta máta 75 ml,138,,https://www.notino.cz/tepe/pure-zubni-pasta-mata/,https://cdn.notinoimg.com/list_2k//tepe/7350121253933_01-o__240419.jpg
Colgate,Max White Luminous,zubní pasta pro zářivě bílé zuby,106,,https://www.notino.cz/colgate/max-white-luminous-zubni-pasta-pro-zarive-bile-zuby/,https://cdn.notinoimg.com/list_2k//colgate/8714789867274_01-o__221128.jpg
BEN&ANNA,Toothpaste Cinnamon Orange,přírodní zubní pasta 75 ml,99,,https://www.notino.cz/benanna/toothpaste-cinnamon-orange-prirodni-zubni-pasta/,https://cdn.notinoimg.com/list_2k//benanna/4260491223067_01-o__230331.jpg
Dr. Mayer,GTS2066+WT3500 Exclusive Set,sada (elektrický zubní kartáček a ústní sprcha),2 245,,https://www.notino.cz/dr-mayer/bundle-darkova-sada/,https://cdn.notinoimg.com/list_2k//dr_mayer/8591205717791_01__211124.jpg
Colgate,Cavity Protection Fresh Mint,zubní pasta s fluoridem 75 ml,44,,https://www.notino.cz/colgate/cavity-protection-zubni-pasta-s-fluoridem/,https://cdn.notinoimg.com/list_2k//colgate/6920354836176_01-o__230811.jpg
Sylveco,Dental Care,přírodní zubní pasta bez fluoridu příchuť Herbal 100 ml,131,,https://www.notino.cz/sylveco/dental-care-prirodni-zubni-pasta-bez-fluoridu/,https://cdn.notinoimg.com/list_2k//sylveco/5902249010688_01__170731.jpg
Colgate,Total Detox,zubní pasta 75 ml,79,,https://www.notino.cz/colgate/total-detox-zubni-pasta/,https://cdn.notinoimg.com/list_2k//colgate/8718951480070_01-o__220524.jpg
Chicco,Always Smiling Blue,sada zubní péče Strawberry(pro děti),319,,https://www.notino.cz/chicco/always-smiling-blue-sada-zubni-pece-12-mpro-deti/,https://cdn.notinoimg.com/list_2k//chicco/8058664047383_01__231124.jpg
BEN&ANNA,Toothpaste Spearmint,přírodní zubní pasta s fluoridem 75 ml,99,,https://www.notino.cz/benanna/toothpaste-spearmint-prirodni-zubni-pasta-s-fluoridem/,https://cdn.notinoimg.com/list_2k//benanna/4260491223050_01-o__230331.jpg
Curasept,White Lux Set,bělicí sada(na zuby),432,,https://www.notino.cz/curasept/white-lux-set-belici-sada-na-zuby/,https://cdn.notinoimg.com/list_2k//curasept/8056746071493_01-o__220218.jpg
Signal,Deep Fresh,zubní pasta pro svěží dech příchuť Aqua Mint 75 ml,53,,https://www.notino.cz/signal/deep-fresh-zubni-pasta-pro-svezi-dech/,https://cdn.notinoimg.com/list_2k//signal/8717163093481_01-o__230306.jpg
Swissdent,Extreme Travel Set,sada zubní péče,197,,https://www.notino.cz/swissdent/extreme-travel-set-sada-zubni-pece/,https://cdn.notinoimg.com/list_2k//swissdent/7640126190334_01-o__220830.jpg
Brush Baby,Tutti Frutti,dětská zubní pasta od 36. měsíce 50 ml,102,,https://www.notino.cz/brush-baby/tutti-frutti-detska-zubni-pasta-od-36-mesice/,https://cdn.notinoimg.com/list_2k//brush_baby/5060178100143_01-o__230613.jpg
Colgate,Total Charcoal,bělicí zubní pasta s aktivním uhlím 75 ml,69,,https://www.notino.cz/colgate/total-charcoal-belici-zubni-pasta-s-aktivnim-uhlim/,https://cdn.notinoimg.com/list_2k//colgate/6920354829406_01-o__221125.jpg
Elmex,Caries Protection,zubní pasta bez mentolu 75 ml,126,,https://www.notino.cz/elmex/caries-protection-zubni-pasta-bez-mentolu/,https://cdn.notinoimg.com/list_2k//elmex/4007965015557_01-o__221128.jpg
Chicco,Oral Care Set,sada zubní péče pro miminka 4 m+ 1 ks,249,,https://www.notino.cz/chicco/oral-care-set-sada-zubni-pece-pro-miminka/,https://cdn.notinoimg.com/list_2k//chicco/8058664155798_01__231124.jpg
Beverly Hills Formula,Professional White Range,bělicí zubní pasta s fluoridem 100 ml,266,,https://www.notino.cz/beverly-hills-formula/professional-white-range-belici-zubni-pasta-s-fluoridem/,https://cdn.notinoimg.com/list_2k//beverly-hills-formula/5020105003138_01-o__180326.jpg
Dr. Bronner’s,Peppermint,bělicí zubní pasta bez obsahu fluoridu 105 ml,222,,https://www.notino.cz/dr-bronners/dr-bronners-peppermint-belici-zubni-pasta-bez-obsahu-fluoridu/,https://cdn.notinoimg.com/list_2k//dr-bronners/0018787321102_01-o__190719.jpg
Perl Weiss,Bleaching Toothpaste for Smokers,bělicí zubní pasta pro kuřáky 50 ml,119,,https://www.notino.cz/perl-weiss/bleaching-toothpaste-for-smokers-belici-zubni-pasta-pro-kuraky/,https://cdn.notinoimg.com/list_2k//perl_weiss/4008890008928_01__240111.jpg
Perl Weiss,Beauty,bělicí zubní pasta 50 ml,119,,https://www.notino.cz/perl-weiss/beauty-belici-zubni-pasta/,https://cdn.notinoimg.com/list_2k//perl_weiss/4008890009413_01__240111.jpg
White Pearl,NanoCare Whitening,zubní pasta s nanočásticemi zlata a aktivního uhlí 100 g,346,,https://www.notino.cz/white-pearl/nanocare-whitening-zubni-pasta-s-nanocasticemi-zlata-a-aktivniho-uhli/,https://cdn.notinoimg.com/list_2k//white-pearl/8594069332834_02__170922.jpg
Ecodenta,Exceptional Whitening,bělicí zubní pasta 100 ml,95,,https://www.notino.cz/ecodenta/exceptional-whitening-belici-zubni-pasta/,https://cdn.notinoimg.com/list_2k//ecodenta/4770001337103_01-o__210809.jpg
Jack N’ Jill,Natural,sada zubní péče (pro děti),176,,https://www.notino.cz/jack-n-jill/natural-sada-zubni-pecepro-deti/,https://cdn.notinoimg.com/list_2k//jack-n-jill/9312657011027_01-o__230602.jpg
Curasept,Biosmalto Baby-Kid,dětská zubní pasta s fluoridem,139,,https://www.notino.cz/curasept/biosmalto-baby-kid-detska-zubni-pasta-s-fluoridem/,https://cdn.notinoimg.com/list_2k//curasept/8056746071202_01-o__220203.jpg
Eva,Meswak,bělicí zubní pudr 3 v 1 30 g,99,,https://www.notino.cz/eva/meswak-belici-zubni-pudr-3-v-1/,https://cdn.notinoimg.com/list_2k//eva/6223001385370_01-o__211115.jpg
Weleda,Dental Care,rostlinný zubní gel 75 ml,126,,https://www.notino.cz/weleda/dental-care-zubni-gel/,https://cdn.notinoimg.com/list_2k//weleda/4001638086554_01-o__230809.jpg
Lavera,Sensitive & Repair,zubní pasta pro citlivé zuby 75 ml,144,,https://www.notino.cz/lavera/sensitive-repair-zubni-pasta-pro-citlive-zuby/,https://cdn.notinoimg.com/list_2k//lavera/4021457629206_01-o__240503.jpg
Signal,Daily White,zubní pasta s bělicím účinkem,37,,https://www.notino.cz/signal/daily-white-zubni-pasta-s-belicim-ucinkem/,https://cdn.notinoimg.com/list_2k//signal/sigdlwu_ktps20__150511.jpg
White Pearl,Smile Aloe Vera,zubní pasta pro zdravé zuby a dásně 120 g,52,,https://www.notino.cz/white-pearl/smile-aloe-vera-zubni-pasta-pro-zdrave-zuby-a-dasne/,https://cdn.notinoimg.com/list_2k//white-pearl/whpalow_ktps10_01__150611.jpg
Blend-a-med,3D White Delicate White,bělicí zubní pasta 75 ml,80,-20 % s kódem mix20,https://www.notino.cz/blend-a-med/3d-white-delicate-white-belici-zubni-pasta/,https://cdn.notinoimg.com/list_2k//blend-a-med/8006540793183_01-o__230221.jpg
Marvel,Spiderman Travel Kit,sada zubní péče pro děti,102,,https://www.notino.cz/marvel/spiderman-travel-kit-sada-zubni-pece-pro-deti/,https://cdn.notinoimg.com/list_2k//marvel/8032979436902_01__220725.jpg
Sensodyne,Pronamel Junior,zubní pasta junior 50 ml,88,,https://www.notino.cz/sensodyne/pro-namel-zubni-pasta-s-fluoridem/,https://cdn.notinoimg.com/list_2k//sensodyne/8590335006812_01-o__140401.jpg
Curasept,ADS DNA 712,gelová zubní pasta 75 ml,163,,https://www.notino.cz/curasept/ads-dna-712-gelova-zubni-pasta/,https://cdn.notinoimg.com/list_2k//curasept/8056746073497_01-o__240503.jpg
Colgate,Natural Extracts Charcoal + White,bělicí zubní pasta s aktivním uhlím,229,,https://www.notino.cz/colgate/natural-extracts-charcoal-white-belici-zubni-pasta-s-aktivnim-uhlim/,https://cdn.notinoimg.com/list_2k//colgate/8590232000241_01-o__220801.jpg
Colgate,Total Active Fresh XL,zubní pasta pro svěží dech 125 ml,110,,https://www.notino.cz/colgate/total-active-fresh-xl-zubni-pasta-pro-svezi-dech/,https://cdn.notinoimg.com/list_2k//colgate/8714789710624_01-o__240404.jpg
Ziaja,Baby,zubní gel pro děti bez fluoridu 50 ml,48,,https://www.notino.cz/ziaja/ziajka-zubni-gel-pro-deti-bez-fluoridu/,https://cdn.notinoimg.com/list_2k//ziaja/5901887026112-o__160428.jpg
Curasept,ADS DNA 705,gelová zubní pasta 75 ml,155,,https://www.notino.cz/curasept/ads-dna-705-gelova-zubni-pasta/,https://cdn.notinoimg.com/list_2k//curasept/8056746073503_01-o__240503.jpg
Meridol,Gum Protection Fresh Breath,zubní pasta pro svěží dech 75 ml,107,,https://www.notino.cz/meridol/dental-care-zubni-pasta-pro-svezi-dech/,https://cdn.notinoimg.com/list_2k//meridol/8718951455528_01-o__230807.jpg
Colgate,Max White Limited Edition,osvěžující zubní pasta limitovaná edice 75 ml,80,,https://www.notino.cz/colgate/max-white-limited-edition-osvezujici-zubni-pasta-limitovana-edice/,https://cdn.notinoimg.com/list_2k//colgate/8718951372498_01-o__230130.jpg
Colgate,Total Original XL,zubní pasta pro kompletní ochranu zubů 125 ml,110,,https://www.notino.cz/colgate/total-original-xl-zubni-pasta-pro-kompletni-ochranu-zubu/,https://cdn.notinoimg.com/list_2k//colgate/8714789710020_01-o__240404.jpg
White Glo,Sensitive Forte,sada zubní péče,158,,https://www.notino.cz/white-glo/sensitive-forte-sada-zubni-pece/,https://cdn.notinoimg.com/list_2k//white-glo/9319871000653_01-o__210524.jpg
White Glo,Glo Professional White,bělicí zubní pasta 115 g,148,,https://www.notino.cz/white-glo/charcoal-belici-zubni-pasta/,https://cdn.notinoimg.com/list_2k//white-glo/9319871002152_01-o__231109.jpg
Sea of Spa,Dental Care,zubní pasta s minerály z Mrtvého moře 100 ml,197,,https://www.notino.cz/sea-of-spa/dental-care-zubni-pasta-s-mineraly-z-mrtveho-more/,https://cdn.notinoimg.com/list_2k//sea-of-spa/sosdcau_ktps10_01__140724.jpg
WOOM,Gingival Pro,posilující zubní pasta 50 ml,160,,https://www.notino.cz/woom/gingival-pro-posilujici-zubni-pasta/,https://cdn.notinoimg.com/list_2k//woom/4751033921089_01-o__230504.jpg
WOOM,Herbal+ Toothpaste,bylinná zubní pasta 75 ml,131,,https://www.notino.cz/woom/herbal-toothbrush-bylinna-zubni-pasta/,https://cdn.notinoimg.com/list_2k//woom/4751033920228_01-o__220629.jpg
Parodontax,Fluoride,zubní pasta proti krvácení dásní,101,,https://www.notino.cz/parodontax/fluoride-zubni-pasta-proti-krvaceni-dasni/,https://cdn.notinoimg.com/list_2k//parodontax/4047400393048_01-o__221027.jpg
Baby Anthyllis,Toothpaste,zubní pasta pro děti Strawberry 75 ml,127,,https://www.notino.cz/baby-anthyllis/toothpaste-zubni-pasta-pro-deti/,https://cdn.notinoimg.com/list_2k//baby_anthyllis/8002849910191_01-o__230629.jpg
Splat,Professional Active,osvěžující zubní pasta 100 ml,129,,https://www.notino.cz/splat/professional-active-osvezujici-zubni-pasta/,https://cdn.notinoimg.com/list_2k//splat/7640168930011_01-o__231101.jpg
Tołpa,Junior,zubní pasta pro děti od 6let 50 ml,30,,https://www.notino.cz/tolpa/junior-zubni-pasta-pro-deti/,https://cdn.notinoimg.com/list_2k//tolpa/5902719419263_01-o__210414.jpg
Ecodenta,Certified Organic Anti-plaque,pasta proti zubnímu plaku a pro zdravé dásně s kokosovým olejem 75 ml,101,,https://www.notino.cz/ecodenta/expert-black-whitening-pasta-proti-zubnimu-plaku-a-pro-zdrave-dasne-s-kokosovym-olejem/,https://cdn.notinoimg.com/list_2k//ecodenta/4770001002155_01-o__210809.jpg
Natura Siberica,Little Siberica BIO,přírodní zubní pasta pro děti příchuť Altai Sea Buckthorn 60,92,,https://www.notino.cz/natura-siberica/little-siberica-bio-prirodni-zubni-pasta-pro-deti/,https://cdn.notinoimg.com/list_2k//natura-siberica/4743318147840_01-o__210401.jpg
White Glo,Coffee & Tea Drinkers Formula,sada zubní péče,140,,https://www.notino.cz/white-glo/coffee-tea-drinkers-formula-kosmeticka-sada-ii/,https://cdn.notinoimg.com/list_2k//white-glo/9319871000639_01-o__231109.jpg
MEDIBLANC,JUNIOR Mint fresh,dětská zubní pasta 50 ml,149,,https://www.notino.cz/mediblanc/junior-mint-fresh-detska-zubni-pasta/,https://cdn.notinoimg.com/list_2k//mediblanc/8059300533147_01-o__220114.jpg
Signal,Integral 8 Actions,zubní pasta 75 ml,51,,https://www.notino.cz/signal/integral-8-zubni-pasta/,https://cdn.notinoimg.com/list_2k//signal/8720181117640_01-o__210611.jpg
Eva,Fluor,bělicí zubní pudr 3 v 1 30 g,98,,https://www.notino.cz/eva/fluor-belici-zubni-pudr-3-v-1/,https://cdn.notinoimg.com/list_2k//eva/6223001385363_01-o__211115.jpg
White Glo,Glo Charcoal,bělicí zubní pasta s aktivním uhlím 115 kg,129,,https://www.notino.cz/white-glo/charcoal-deep-stain-remover-belici-zubni-pasta-s-aktivnim-uhlim/,https://cdn.notinoimg.com/list_2k//white-glo/9319871002169_01-o__231109.jpg
Tołpa,Dentica Extra Fresh,mátová zubní pasta 100 ml,34,,https://www.notino.cz/tolpa/dentica-extra-fresh-matova-zubni-pasta/,https://cdn.notinoimg.com/list_2k//tolpa/5902719419232_01-o__230210.jpg
My White Secret,Toothpaste Powder,zubní pasta v prášku 60 ml,259,,https://www.notino.cz/my-white-secret/toothpaste-powder-zubni-pasta-v-prasku/,https://cdn.notinoimg.com/list_2k//my-white-secret/5060548390457_01-o__220829.jpg
White Pearl,NanoCare Kids,zubní pasta pro děti 50 g,103,,https://www.notino.cz/white-pearl/white-pearl-nanocare-kids-zubni-pasta-pro-deti/,https://cdn.notinoimg.com/list_2k//white-pearl/8594069332964_01-o__190710.jpg
Signal,Micro-Granules,zubní pasta 75 ml,72,,https://www.notino.cz/signal/micro-granules-zubni-pasta/,https://cdn.notinoimg.com/list_2k//signal/sigmrcu_ktps10__150511.jpg
Colgate,Triple Action Xtra White,bělicí zubní pasta s fluoridem 75 ml,65,,https://www.notino.cz/colgate/triple-action-xtra-white-belici-zubni-pasta-s-fluoridem/,https://cdn.notinoimg.com/list_2k//colgate/8718951294721_01-o__200212.jpg
The Humble Co.,Natural Toothpaste Kids,přírodní zubní pasta pro děti s jahodovou příchutí,229,,https://www.notino.cz/humble/natural-toothpaste-kids-prirodni-zubni-pasta-pro-deti-s-jahodovou-prichuti/,https://cdn.notinoimg.com/list_2k//humble/7350075693229_01-o__210816.jpg
Beverly Hills Formula,Perfect White Black,bělicí zubní pasta s aktivním uhlím pro svěží dech příchuť Fresh Mint 100 ml,174,,https://www.notino.cz/beverly-hills-formula/perfect-white-black-belici-zubni-pasta-s-aktivnim-uhlim-pro-svezi-dech/,https://cdn.notinoimg.com/list_2k//beverly-hills-formula/5020105002681_01-o__210917.jpg
Sylveco,For Kids,dětská zubní pasta bez fluoridu 75 ml,125,,https://www.notino.cz/sylveco/for-kids-detska-zubni-pasta-bez-fluoridu/,https://cdn.notinoimg.com/list_2k//sylveco/5902249016192_01-o__211103.jpg
Blue M,Oxygen for Health Calciumfluoride,zubní pasta s fluoridem 75 ml,299,,https://www.notino.cz/bluem/toothpaste-calciumfluoride-zubni-pasta-s-fluoridem/,https://cdn.notinoimg.com/list_2k//bluem/696859328367_01-o__210614.jpg
Minions,Travel Kit,sada zubní péče 3y+(pro děti),89,,https://www.notino.cz/minions/travel-kit-sada-zubni-pece-3ypro-deti/,https://cdn.notinoimg.com/list_2k//minions/8032979437992_01-o__220902.jpg
WOOM,Junior Cola,dětská zubní pasta 50 ml,109,,https://www.notino.cz/woom/junior-cola-detska-zubni-pasta/,https://cdn.notinoimg.com/list_2k//woom/4751033920150_01-o__220629.jpg
Curasept,ADS Protective,pasta proti zubnímu plaku a pro zdravé dásně 75 ml,174,,https://www.notino.cz/curasept/ads-protective-pasta-proti-zubnimu-plaku-a-pro-zdrave-dasne/,https://cdn.notinoimg.com/list_2k//curasept/8056746070250_01-o__220203.jpg
Yotuel,All In One,bělicí krém na zuby,407,-20 % s kódem 20combi,https://www.notino.cz/yotuel/all-in-one-belici-zubni-krem/,https://cdn.notinoimg.com/list_2k//yotuel/yotaiow_ktps10__150428.jpg
Chicco,Oral Care,zubní gel pro děti 4m+ 30 ml,89,,https://www.notino.cz/chicco/oral-care-masazni-gel-na-dasne-pro-deti-4-m/,https://cdn.notinoimg.com/list_2k//chicco/8003670913771_01__210623.jpg
Minions,Travel Dental Set,sada zubní péče 3y+(pro děti),158,,https://www.notino.cz/minions/travel-dental-set-sada-zubni-pece-3ypro-deti/,https://cdn.notinoimg.com/list_2k//minions/8032979437633_01-o__220902.jpg
WOOM,Carbon+ Toothpaste,černá bělicí zubní pasta 75 ml,132,,https://www.notino.cz/woom/carbon-toothpaste-cerna-belici-zubni-pasta/,https://cdn.notinoimg.com/list_2k//woom/8420075180322_01-o__220629.jpg
Splat,Set Splat Duo,sada (na zuby),320,,https://www.notino.cz/splat/set-duo-sadana-zuby/,https://cdn.notinoimg.com/list_2k//splat/7640168937140_01__220927.jpg
Ecodenta,Green Sensitivity Relief,zubní pasta pro citlivé zuby s fluoridem příchuť Chamomile/Clove 100 ml,73,,https://www.notino.cz/ecodenta/green-sensitivity-relief-zubni-pasta-pro-citlive-zuby/,https://cdn.notinoimg.com/list_2k//ecodenta/4770001333884_01-o__170112.jpg
Colgate,Total Original,zubní pasta,97,,https://www.notino.cz/colgate/total-original-zubni-pasta/,https://cdn.notinoimg.com/list_2k//colgate/8718951226715_01-o__230529.jpg
White Glo,Charcoal,sada zubní péče,144,,https://www.notino.cz/white-glo/charcoal-sada-zubni-pece/,https://cdn.notinoimg.com/list_2k//white-glo/9319871001070_01-o__210524.jpg
Colgate,Herbal White,bylinná zubní pasta s bělicím účinkem 75 ml,50,,https://www.notino.cz/colgate/herbal-white-bylinna-zubni-pasta-s-belicim-ucinkem/,https://cdn.notinoimg.com/list_2k//colgate/8714789098838_01-o__240229.jpg
Swissdent,Extreme Whitening,intenzivní bělicí zubní pasta 10 ml,79,,https://www.notino.cz/swissdent/extreme-intenzivni-belici-zubni-pasta/,https://cdn.notinoimg.com/list_2k//swissdent/swdextw_ktps05__150402.jpg
Ziaja,Baby,zubní gel pro děti s fluoridem 50 ml,37,,https://www.notino.cz/ziaja/baby-zubni-gel-pro-deti-s-fluoridem/,https://cdn.notinoimg.com/list_2k//ziaja/5901887027775-o__160503.jpg
WOOM,Junior Bubblegum,dětská zubní pasta 50 ml,96,,https://www.notino.cz/woom/junior-bubblegum-detska-zubni-pasta/,https://cdn.notinoimg.com/list_2k//woom/4751033920112_01-o__220629.jpg
Oral B,Enamel Regeneration,zubní pasta pro posílení zubní skloviny 75 ml,109,-20 % s kódem mix20,https://www.notino.cz/oral-b/professional-regenerate-enamel-daily-protection-zubni-pasta-pro-posileni-zubni-skloviny/,https://cdn.notinoimg.com/list_2k//oral-b/8001090247544_01-o__221031.jpg
