Brand,Name,Description,Price,Discount,Product URL,Image
Marvis,Orange Blossom Bloom,zubní pasta příchuť Orange 75 ml,183,- 15 % na Marvis při nákupu 2 ks,https://www.notino.cz/marvis/marvis-orange-blossom-bloom-zubni-pasta/,https://cdn.notinoimg.com/list_2k//marvis/8004395111626_01-o__190911.jpg
Colgate,Advanced White Charcoal,bělicí zubní pasta s aktivním uhlím,54,,https://www.notino.cz/colgate/advanced-white-charcoal-zubni-pasta-s-aktivnim-uhlim/,https://cdn.notinoimg.com/list_2k//colgate/8718951253827_01-o__240229.jpg
MEDIBLANC,Healthy Gums,zubní pasta pro ochranu dásní,325,,https://www.notino.cz/mediblanc/healthy-gums-zubni-pasta-pro-ochranu-dasni/,https://cdn.notinoimg.com/list_2k//mediblanc/8059300530559-o__221027.jpg
Curaprox,Kids 2+,zubní pasta pro děti,143,,https://www.notino.cz/curaprox/kids-2-strawberry-zubni-pasta-pro-deti/,https://cdn.notinoimg.com/list_2k//curaprox/7612412429473_01-o__220225.jpg
G.U.M,Ortho,zubní pasta pro uživatele fixních rovnátek 75 ml,115,,https://www.notino.cz/gum/ortho-zubni-pasta-pro-uzivatele-fixnich-rovnatek/,https://cdn.notinoimg.com/list_2k//gum/gumortw_ktps40_01__151102.jpg
Elmex,Sensitive,pasta pro citlivé zuby,109,,https://www.notino.cz/elmex/sensitive-pasta-pro-citlive-zuby/,https://cdn.notinoimg.com/list_2k//elmex/7610108059249_11-o__150518.jpg
Curaprox,Perio Plus+ Support 0.09 CHX,zubní pasta proti krvácení dásní a parodontóze 75 ml,215,,https://www.notino.cz/curaprox/perio-plus-support-009-chx-zubni-pasta-proti-krvaceni-dasni-a-parodontoze/,https://cdn.notinoimg.com/list_2k//curaprox/7612412427288_01-o__191204.jpg
Weleda,Dental Care,zubní pasta proti krvácení dásní 75 ml,118,,https://www.notino.cz/weleda/dental-care-zubni-pasta/,https://cdn.notinoimg.com/list_2k//weleda/4001638098083_01-o__211012.jpg
Meridol,Gum Protection,zubní pasta podporující regeneraci podrážděných dásní,61,,https://www.notino.cz/meridol/meridol-zubni-pasta-proti-krvaceni-dasni/,https://cdn.notinoimg.com/list_2k//meridol/8718951459885_01-o__220524.jpg
Curasept,Biosmalto Mousse,pěna pro obnovení zubní skloviny,375,,https://www.notino.cz/curasept/biosmalto-mousse-pro-obnoveni-zubni-skloviny/,https://cdn.notinoimg.com/list_2k//curasept/8056746071240_01-o__220202.jpg
Jack N’ Jill,Toothpaste,přírodní zubní pasta pro děti,126,,https://www.notino.cz/jack-n-jill/toothpaste-prirodni-zubni-pasta-pro-deti/,https://cdn.notinoimg.com/list_2k//jack-n-jill/9312657011096_01__210924.jpg
Oral B,Pro Expert Deep Clean,osvěžující zubní pasta 75 ml,77,-20 % s kódem mix20,https://www.notino.cz/oral-b/pro-expert-deep-clean-osvezujici-zubni-pasta/,https://cdn.notinoimg.com/list_2k//oral-b/8700216106733_01-o__230904.jpg
Ecodenta,Green Tartar Eliminating,osvěžující zubní pasta proti zubnímu kameni s fluoridem příchuť Cranberry 100 ml,74,,https://www.notino.cz/ecodenta/green-tartar-eliminating-osvezujici-zubni-pasta-proti-zubnimu-kameni/,https://cdn.notinoimg.com/list_2k//ecodenta/4770001333815_01-o__170112.jpg
Curaprox,Black is White,bělicí pasta s aktivním uhlím a hydroxyapatitem příchuť Fresh Lime-Mint 90 ml,496,,https://www.notino.cz/curaprox/black-is-white-belici-pasta-s-aktivnim-uhlim-a-hydroxyapatitem/,https://cdn.notinoimg.com/list_2k//curaprox/7612412423822_01-o__170127.jpg
Colgate,Triple Action Original Mint,zubní pasta,36,,https://www.notino.cz/colgate/triple-action-duopack-zubni-pasta/,https://cdn.notinoimg.com/list_2k//colgate/6920354835971_01-o__230810.jpg
Biorepair,Kids 0-6,zubní pasta pro děti pro obnovení zubní skloviny Strawberry 50 ml,77,,https://www.notino.cz/blanx/biorepair-zubni-pasta-pro-deti/,https://cdn.notinoimg.com/list_2k//biorepair/8017331035634_01-o__130828.jpg
Parodontax,Complete Protection Extra Fresh,zubní pasta s fluoridem pro zdravé zuby a dásně,128,,https://www.notino.cz/parodontax/complete-protection-extra-fresh-zubni-pasta-s-fluoridem-pro-zdrave-zuby-a-dasne/,https://cdn.notinoimg.com/list_2k//parodontax/5054563040596_01-o__180504.jpg
Tołpa,Dentica Ultra White,bělicí zubní pasta 100 ml,34,,https://www.notino.cz/tolpa/dentica-ultra-white-belici-zubni-pasta/,https://cdn.notinoimg.com/list_2k//tolpa/5902719419249_01-o__210414.jpg
Curaprox,Kids 6+,zubní pasta pro děti,143,,https://www.notino.cz/curaprox/kids-6-watermelon-zubni-pasta-pro-deti/,https://cdn.notinoimg.com/list_2k//curaprox/7612412429480_01-o__211122.jpg
Signal,Integral 8 Natural Elements,zubní pasta,52,,https://www.notino.cz/signal/integral-8-natural-elements-zubni-pasta/,https://cdn.notinoimg.com/list_2k//signal/8710447328095_01-o__221019.jpg
MEDIBLANC,Sensi-Relief,zubní pasta pro citlivé zuby,175,,https://www.notino.cz/mediblanc/sensi-relief-zubni-pasta-pro-citlive-zuby/,https://cdn.notinoimg.com/list_2k//mediblanc/3760275382412-o__221027.jpg
Meridol,Gum Protection Whitening,bělicí zubní pasta,106,,https://www.notino.cz/meridol/dental-care-belici-zubni-pasta/,https://cdn.notinoimg.com/list_2k//meridol/8718951560352_01-o__230807.jpg
Splat,Biomed Sensitive,bioaktivní zubní pasta pro snížení citlivosti zubů a zdravé dásně 100 g,109,,https://www.notino.cz/splat/biomed-sensitive-bioaktivni-zubni-pasta-pro-snizeni-citlivosti-zubu-a-zdrave-dasne/,https://cdn.notinoimg.com/list_2k//splat/2800015078371_01-o__220908.jpg
Curaprox,Enzycal Zero,zubní pasta 75 ml,142,,https://www.notino.cz/curaprox/enzycal-zero-zubni-pasta/,https://cdn.notinoimg.com/list_2k//curaprox/7612412422849_01-o__150224.jpg
