Brand,Name,Description,Price,Product URL,Image,Discount Percentage,Discount Description,Discount Amount,Country,Currency,Scraped at
Elmex,Caries Protection Kids,zubní pasta pro děti,86,https://www.notino.cz/elmex/caries-protection-kids-zubni-pasta-pro-deti-73190/,https://cdn.notinoimg.com/list_2k//elmex/7610108056354_01-o__230215.jpg,0,,0.0,Czechia,czk,2024-05-23 17:54:03.358655
Sensodyne,Repair & Protect,zubní pasta pro citlivé zuby,152,https://www.notino.cz/sensodyne/repair-protect-zubni-pasta-pro-citlive-zuby-73385/,https://cdn.notinoimg.com/list_2k//sensodyne/5054563103567_01-o__210908.jpg,0,,0.0,Czechia,czk,2024-05-23 17:54:03.358655
Curaprox,Enzycal 1450,zubní pasta 1450 ppm 75 ml,159,https://www.notino.cz/curaprox/enzycal-1450-zubni-pasta/,https://cdn.notinoimg.com/list_2k//curaprox/7612412070002_01-o__141218.jpg,0,,0.0,Czechia,czk,2024-05-23 17:54:03.358655
Elmex,Caries Protection,zubní pasta chránící před zubním kazem s fluoridem,132,https://www.notino.cz/elmex/caries-protection-zubni-pasta-chranici-pred-zubnim-kazem-s-fluoridem-73186/,https://cdn.notinoimg.com/list_2k//elmex/4007965560002_11-o__140311.jpg,0,,0.0,Czechia,czk,2024-05-23 17:54:03.358655
White Glo,Professional Choice,bělicí zubní pasta na cesty 24 g,18,https://www.notino.cz/white-glo/professional-choice-belici-zubni-pasta-na-cesty/,https://cdn.notinoimg.com/list_2k//white-glo/9319871000189_01-o__210524.jpg,0,,0.0,Czechia,czk,2024-05-23 17:54:03.358655
Jack N’ Jill,Natural,přírodní zubní pasta pro děti,126,https://www.notino.cz/jack-n-jill/natural-zubni-pasta-pro-deti/,https://cdn.notinoimg.com/list_2k//jack-n-jill/9312657009017_01-o__230602.jpg,0,,0.0,Czechia,czk,2024-05-23 17:54:03.358655
Natura Siberica,Natural Siberian 7 Northern Herbs,zubní pasta proti krvácení dásní 100 g,90,https://www.notino.cz/natura-siberica/natura-siberica-natural-siberian-7-northern-herbs-zubni-pasta-proti-krvaceni-dasni/,https://cdn.notinoimg.com/list_2k//natura-siberica/4607174437531_01-o__190709.jpg,0,,0.0,Czechia,czk,2024-05-23 17:54:03.358655
Biorepair,Fast Sensitive Repair,bioaktivní pasta pro snížení citlivosti zubů a obnovení zubní skloviny 75 ml,106,https://www.notino.cz/biorepair/fast-sensitive-repair-zubni-pasta/,https://cdn.notinoimg.com/list_2k//biorepair/8017331048443_01-o__220811.jpg,0,,0.0,Czechia,czk,2024-05-23 17:54:03.358655
Marvis,The Mints Jasmin,zubní pasta,93,https://www.notino.cz/marvis/jasmin-mint-zubni-pasta/,https://cdn.notinoimg.com/list_2k//marvis/8004395111756_01-o__171120.jpg,15,na Marvis při nákupu 2 ks,13.95,Czechia,czk,2024-05-23 17:54:03.358655
Ecodenta,Expert Triple Force,zubní pasta bez fluoridu s trojím účinkem 100 ml,88,https://www.notino.cz/ecodenta/extra-zubni-pasta-s-trojim-ucinkem/,https://cdn.notinoimg.com/list_2k//ecodenta/4770001331903_01-o__160825.jpg,20,s kódem beeweek,17.6,Czechia,czk,2024-05-23 17:54:03.358655
